;architecture;mapper;dataset;policy;threads;counter;value_mean;value_std;error_mean;error_std;max_mean;max_std;min_mean;min_std
0;batcat;gem;na12878;interleave;32;seconds;94.3574108787;13.00004270226466;5.201662622903971;5.04535009632883;98.0355417928;13.37110775054617;90.6792799646;13.589380252212344
1;batcat;gem;na12878;localalloc;32;seconds;552.9207219118999;550.7853673177854;134.31035259644153;150.92108420165025;647.8924830163999;638.4237955153438;457.9489608073999;471.08520745100805
2;batcat;gem;na12878;partitioning;32;seconds;238.04001967690002;98.09081875613094;77.54450001835616;87.10669291391214;292.8722614836;151.19615885803603;183.2077778702;63.015196147202346
