S1;dTLB-store-misses;753,978,445
S1;iTLB-loads;636,298,457
S1;iTLB-load-misses;290,859,308
S1;branch-loads;919,751,291,380
S1;branch-load-misses;35,556,963,162
S2;cache-misses;33,561,474
S2;cycles;20,963,837,860
S2;instructions;10,409,883,229
S2;cs;52,696
S2;migrations;526
S2;faults;36,360
S2;bus-cycles;1,824,880,152
S2;idle-cycles-frontend;36,616,253,305
S2;idle-cycles-backend;34,609,387,326
S2;L1-dcache-loads;3,145,997,454
S2;L1-dcache-load-misses;224,217,775
S2;L1-dcache-stores;2,240,509,018
S2;L1-dcache-store-misses;54,106,934
S2;L1-dcache-prefetch-misses;79,645,968
S2;L1-icache-load-misses;118,111,315
S2;LLC-loads;325,559,754
S2;LLC-stores;13,302,425
S2;LLC-prefetches;39,077,264
S2;dTLB-loads;2,447,620,611
S2;dTLB-load-misses;44,730,961
S2;dTLB-stores;1,799,371,859
S2;dTLB-store-misses;6,016,086
S2;iTLB-loads;1,708,410
S2;iTLB-load-misses;2,222,936
S2;branch-loads;1,548,919,765
S2;branch-load-misses;37,595,482
S3;cache-misses;91,195,479
S3;cycles;33,824,738,924
S3;instructions;14,942,029,992
S3;cs;106,966
S3;migrations;943
S3;faults;42,300
S3;bus-cycles;3,168,116,818
S3;idle-cycles-frontend;57,384,371,225
S3;idle-cycles-backend;52,501,889,420
S3;L1-dcache-loads;5,105,661,352
S3;L1-dcache-load-misses;347,573,079
S3;L1-dcache-stores;2,463,475,887
S3;L1-dcache-store-misses;60,282,779
S3;L1-dcache-prefetch-misses;147,202,618
S3;L1-icache-load-misses;221,465,381
S3;LLC-loads;263,349,527
S3;LLC-stores;36,839,500
S3;LLC-prefetches;83,042,088
S3;dTLB-loads;3,835,800,183
S3;dTLB-load-misses;105,280,729
S3;dTLB-stores;2,635,187,269
S3;dTLB-store-misses;14,892,837
S3;iTLB-loads;3,168,456
S3;iTLB-load-misses;5,344,998
S3;branch-loads;2,839,957,227
S3;branch-load-misses;69,665,817
 ;seconds time elapsed;397.045116425; 
S0;cache-misses;13,990,933,684
S0;cycles;9,438,278,718,605
S0;instructions;7,092,481,148,641
S0;cs;13,964,251
S0;migrations;8,192
S0;faults;81,445
S0;bus-cycles;539,662,248,713
S0;idle-cycles-frontend;7,079,396,273,141
