;architecture;mapper;dataset;policy;threads;value_mean;value_std;error_mean;error_std;max_mean;max_std;min_mean;min_std;counter
0;penguin;bowtie2;na12878;interleave2;32;239.6229687776;64.00890231797881;71.10849276611575;76.5314614176381;279.8480067255;115.06543585897855;199.3979308297;20.214796832962453;seconds
1;penguin;bowtie2;na12878;interleave4;16;144.40354233569997;11.806343029969376;20.785958717369432;3.142572385469551;168.0616448685;14.272199427785988;129.13771056299998;10.187870233801569;seconds
2;penguin;bowtie2;na12878;interleave8;8;137.7029846067125;2.756275947643289;18.246471962140408;2.150496258162246;159.5415928044;6.569184656826327;118.23126994260001;2.9854089738424014;seconds
3;penguin;bowtie2;na12878;localalloc2;32;270.20946502485;75.36706493159379;114.9275450289071;78.55631380197407;335.22230217289996;127.80717544763529;205.1966278768;46.62193063999618;seconds
4;penguin;bowtie2;na12878;localalloc4;16;160.43606447656668;19.693221783810266;27.011711664563894;10.607046692574494;186.3130682794;28.868141966000426;134.5157277486;11.025434056941643;seconds
5;penguin;bowtie2;na12878;localalloc8;8;149.55035533007498;13.883300714458692;25.84543910466935;4.644987267520821;187.7907419968;20.081209448315338;126.90125072129999;13.201140271779543;seconds
6;penguin;bowtie2;na12878;partitioning2;32;186.51139100005;9.469356232949245;14.07817677189515;13.030758892410605;196.4661652622;17.169062142020177;176.55661673790001;7.373018202105327;seconds
7;penguin;bowtie2;na12878;partitioning4;16;142.19980188846665;6.22642058584553;22.61462851998322;4.836087914761248;168.1073849176;8.176361346917055;126.7624764834;7.364463876248476;seconds
8;penguin;bowtie2;na12878;partitioning8;8;138.33027884132503;5.211294640850991;23.610205648866817;5.355422624745188;174.49569980040002;11.73847544520123;116.15849347570001;7.477577299360542;seconds
